execution,phase,year,month,day,hour,minute,second,ms
s18_01,stand_start,2022,12,21,9,43,21,831
s18_01,stand_end  ,2022,12,21,9,43,23,36
s18_01,turn1_start,2022,12,21,9,43,26,347
s18_01,turn1_end  ,2022,12,21,9,43,27,266
s18_01,turn2_start,2022,12,21,9,43,30,260
s18_01,turn2_end  ,2022,12,21,9,43,31,432
s18_01,sit_start  ,2022,12,21,9,43,31,432
s18_01,sit_end    ,2022,12,21,9,43,33,53
s18_02,stand_start,2022,12,21,9,43,59,894
s18_02,stand_end  ,2022,12,21,9,44,0,813
s18_02,turn1_start,2022,12,21,9,44,3,456
s18_02,turn1_end  ,2022,12,21,9,44,4,341
s18_02,turn2_start,2022,12,21,9,44,7,335
s18_02,turn2_end  ,2022,12,21,9,44,8,222
s18_02,sit_start  ,2022,12,21,9,44,8,222
s18_02,sit_end    ,2022,12,21,9,44,9,678
s18_03,stand_start,2022,12,21,9,44,35,167
s18_03,stand_end  ,2022,12,21,9,44,36,923
s18_03,turn1_start,2022,12,21,9,44,41,340
s18_03,turn1_end  ,2022,12,21,9,44,42,978
s18_03,turn2_start,2022,12,21,9,44,46,557
s18_03,turn2_end  ,2022,12,21,9,44,48,147
s18_03,sit_start  ,2022,12,21,9,44,48,147
s18_03,sit_end    ,2022,12,21,9,44,50,20
s18_04,stand_start,2022,12,21,9,45,17,296
s18_04,stand_end  ,2022,12,21,9,45,18,768
s18_04,turn1_start,2022,12,21,9,45,23,234
s18_04,turn1_end  ,2022,12,21,9,45,24,137
s18_04,turn2_start,2022,12,21,9,45,26,195
s18_04,turn2_end  ,2022,12,21,9,45,27,266
s18_04,sit_start  ,2022,12,21,9,45,27,266
s18_04,sit_end    ,2022,12,21,9,45,28,819
s18_05,stand_start,2022,12,21,9,46,42,341
s18_05,stand_end  ,2022,12,21,9,46,43,510
s18_05,turn1_start,2022,12,21,9,46,45,919
s18_05,turn1_end  ,2022,12,21,9,46,47,22
s18_05,turn2_start,2022,12,21,9,46,49,764
s18_05,turn2_end  ,2022,12,21,9,46,50,835
s18_05,sit_start  ,2022,12,21,9,46,50,835
s18_05,sit_end    ,2022,12,21,9,46,52,523
s18_06,stand_start,2022,12,21,9,47,15,229
s18_06,stand_end  ,2022,12,21,9,47,16,702
s18_06,turn1_start,2022,12,21,9,47,20,146
s18_06,turn1_end  ,2022,12,21,9,47,21,518
s18_06,turn2_start,2022,12,21,9,47,24,996
s18_06,turn2_end  ,2022,12,21,9,47,26,367
s18_06,sit_start  ,2022,12,21,9,47,26,367
s18_06,sit_end    ,2022,12,21,9,47,28,6
s18_07,stand_start,2022,12,21,9,47,55,752
s18_07,stand_end  ,2022,12,21,9,47,56,990
s18_07,turn1_start,2022,12,21,9,48,0,219
s18_07,turn1_end  ,2022,12,21,9,48,1,423
s18_07,turn2_start,2022,12,21,9,48,4,651
s18_07,turn2_end  ,2022,12,21,9,48,5,822
s18_07,sit_start  ,2022,12,21,9,48,5,822
s18_07,sit_end    ,2022,12,21,9,48,7,476
s18_08,stand_start,2022,12,21,9,48,36,458
s18_08,stand_end  ,2022,12,21,9,48,37,359
s18_08,turn1_start,2022,12,21,9,48,40,20
s18_08,turn1_end  ,2022,12,21,9,48,41,139
s18_08,turn2_start,2022,12,21,9,48,44,501
s18_08,turn2_end  ,2022,12,21,9,48,45,823
s18_08,sit_start  ,2022,12,21,9,48,45,823
s18_08,sit_end    ,2022,12,21,9,48,47,411
s18_09,stand_start,2022,12,21,9,49,9,886
s18_09,stand_end  ,2022,12,21,9,49,10,823
s18_09,turn1_start,2022,12,21,9,49,13,900
s18_09,turn1_end  ,2022,12,21,9,49,15,204
s18_09,turn2_start,2022,12,21,9,49,18,381
s18_09,turn2_end  ,2022,12,21,9,49,19,803
s18_09,sit_start  ,2022,12,21,9,49,19,803
s18_09,sit_end    ,2022,12,21,9,49,21,241
s18_10,stand_start,2022,12,21,9,49,57,199
s18_10,stand_end  ,2022,12,21,9,49,59,189
s18_10,turn1_start,2022,12,21,9,50,2,951
s18_10,turn1_end  ,2022,12,21,9,50,4,255
s18_10,turn2_start,2022,12,21,9,50,7,148
s18_10,turn2_end  ,2022,12,21,9,50,8,219
s18_10,sit_start  ,2022,12,21,9,50,8,219
s18_10,sit_end    ,2022,12,21,9,50,9,774
