execution,phase,year,month,day,hour,minute,second,ms
s08_01,start      ,2022,7,11,14,9,38,117
s08_01,stand_start,2022,7,11,14,9,39,9
s08_01,stand_end  ,2022,7,11,14,9,40,500
s08_01,turn1_start,2022,7,11,14,9,43,109
s08_01,turn1_end  ,2022,7,11,14,9,44,414
s08_01,turn2_start,2022,7,11,14,9,47,300
s08_01,turn2_end  ,2022,7,11,14,9,48,170
s08_01,sit_start  ,2022,7,11,14,9,48,170
s08_01,sit_end    ,2022,7,11,14,9,49,752
s08_01,end        ,2022,7,11,14,9,49,752
s08_02,start      ,2022,7,11,14,10,25,806
s08_02,stand_start,2022,7,11,14,10,27,276
s08_02,stand_end  ,2022,7,11,14,10,28,348
s08_02,turn1_start,2022,7,11,14,10,30,960
s08_02,turn1_end  ,2022,7,11,14,10,32,566
s08_02,turn2_start,2022,7,11,14,10,35,505
s08_02,turn2_end  ,2022,7,11,14,10,36,346
s08_02,sit_start  ,2022,7,11,14,10,36,346
s08_02,sit_end    ,2022,7,11,14,10,38,121
s08_02,end        ,2022,7,11,14,10,38,538
s08_03,start      ,2022,7,11,14,11,5,295
s08_03,stand_start,2022,7,11,14,11,5,836
s08_03,stand_end  ,2022,7,11,14,11,7,165
s08_03,turn1_start,2022,7,11,14,11,10,1
s08_03,turn1_end  ,2022,7,11,14,11,11,138
s08_03,turn2_start,2022,7,11,14,11,14,364
s08_03,turn2_end  ,2022,7,11,14,11,15,332
s08_03,sit_start  ,2022,7,11,14,11,15,332
s08_03,sit_end    ,2022,7,11,14,11,16,922
s08_03,end        ,2022,7,11,14,11,18,191
s08_04,start      ,2022,7,11,14,11,44,53
s08_04,stand_start,2022,7,11,14,11,44,722
s08_04,stand_end  ,2022,7,11,14,11,46,92
s08_04,turn1_start,2022,7,11,14,11,48,688
s08_04,turn1_end  ,2022,7,11,14,11,50,344
s08_04,turn2_start,2022,7,11,14,11,53,373
s08_04,turn2_end  ,2022,7,11,14,11,54,478
s08_04,sit_start  ,2022,7,11,14,11,54,478
s08_04,sit_end    ,2022,7,11,14,11,55,799
s08_04,end        ,2022,7,11,14,11,57,154
s08_05,start      ,2022,7,11,14,12,19,256
s08_05,stand_start,2022,7,11,14,12,20,59
s08_05,stand_end  ,2022,7,11,14,12,21,313
s08_05,turn1_start,2022,7,11,14,12,23,990
s08_05,turn1_end  ,2022,7,11,14,12,25,385
s08_05,turn2_start,2022,7,11,14,12,28,313
s08_05,turn2_end  ,2022,7,11,14,12,29,316
s08_05,sit_start  ,2022,7,11,14,12,29,316
s08_05,sit_end    ,2022,7,11,14,12,31,57
s08_05,end        ,2022,7,11,14,12,31,576
s08_06,start      ,2022,7,11,14,12,53,249
s08_06,stand_start,2022,7,11,14,12,54,133
s08_06,stand_end  ,2022,7,11,14,12,55,560
s08_06,turn1_start,2022,7,11,14,12,58,86
s08_06,turn1_end  ,2022,7,11,14,12,59,405
s08_06,turn2_start,2022,7,11,14,13,2,418
s08_06,turn2_end  ,2022,7,11,14,13,3,908
s08_06,sit_start  ,2022,7,11,14,13,3,908
s08_06,sit_end    ,2022,7,11,14,13,5,295
s08_06,end        ,2022,7,11,14,13,5,696
s08_07,start      ,2022,7,11,14,14,6,553
s08_07,stand_start,2022,7,11,14,14,7,507
s08_07,stand_end  ,2022,7,11,14,14,8,745
s08_07,turn1_start,2022,7,11,14,14,11,471
s08_07,turn1_end  ,2022,7,11,14,14,12,539
s08_07,turn2_start,2022,7,11,14,14,16,26
s08_07,turn2_end  ,2022,7,11,14,14,17,298
s08_07,sit_start  ,2022,7,11,14,14,17,298
s08_07,sit_end    ,2022,7,11,14,14,18,949
s08_07,end        ,2022,7,11,14,14,18,949
s08_08,start      ,2022,7,11,14,15,6,667
s08_08,stand_start,2022,7,11,14,15,7,772
s08_08,stand_end  ,2022,7,11,14,15,9,444
s08_08,turn1_start,2022,7,11,14,15,12,271
s08_08,turn1_end  ,2022,7,11,14,15,13,323
s08_08,turn2_start,2022,7,11,14,15,17,105
s08_08,turn2_end  ,2022,7,11,14,15,18,394
s08_08,sit_start  ,2022,7,11,14,15,18,394
s08_08,sit_end    ,2022,7,11,14,15,19,631
s08_08,end        ,2022,7,11,14,15,19,963
s08_09,start      ,2022,7,11,14,15,40,182
s08_09,stand_start,2022,7,11,14,15,41,436
s08_09,stand_end  ,2022,7,11,14,15,42,808
s08_09,turn1_start,2022,7,11,14,15,45,539
s08_09,turn1_end  ,2022,7,11,14,15,46,700
s08_09,turn2_start,2022,7,11,14,15,50,58
s08_09,turn2_end  ,2022,7,11,14,15,51,480
s08_09,sit_start  ,2022,7,11,14,15,51,480
s08_09,sit_end    ,2022,7,11,14,15,52,785
s08_09,end        ,2022,7,11,14,15,52,785
