execution,phase,year,month,day,hour,minute,second,ms
s28_01,stand_start,2023,2,16,12,17,0,206
s28_01,stand_end  ,2023,2,16,12,17,0,925
s28_01,turn1_start,2023,2,16,12,17,3,351
s28_01,turn1_end  ,2023,2,16,12,17,4,253
s28_01,turn2_start,2023,2,16,12,17,6,811
s28_01,turn2_end  ,2023,2,16,12,17,7,632
s28_01,sit_start  ,2023,2,16,12,17,7,632
s28_01,sit_end    ,2023,2,16,12,17,8,516
s28_02,stand_start,2023,2,16,12,17,30,108
s28_02,stand_end  ,2023,2,16,12,17,31,43
s28_02,turn1_start,2023,2,16,12,17,33,470
s28_02,turn1_end  ,2023,2,16,12,17,34,371
s28_02,turn2_start,2023,2,16,12,17,36,799
s28_02,turn2_end  ,2023,2,16,12,17,37,717
s28_02,sit_start  ,2023,2,16,12,17,37,717
s28_02,sit_end    ,2023,2,16,12,17,38,453
s28_03,stand_start,2023,2,16,12,17,58,290
s28_03,stand_end  ,2023,2,16,12,17,59,125
s28_03,turn1_start,2023,2,16,12,18,1,349
s28_03,turn1_end  ,2023,2,16,12,18,2,335
s28_03,turn2_start,2023,2,16,12,18,4,811
s28_03,turn2_end  ,2023,2,16,12,18,5,865
s28_03,sit_start  ,2023,2,16,12,18,5,865
s28_03,sit_end    ,2023,2,16,12,18,6,566
s28_04,stand_start,2023,2,16,12,18,28,460
s28_04,stand_end  ,2023,2,16,12,18,29,231
s28_04,turn1_start,2023,2,16,12,18,31,471
s28_04,turn1_end  ,2023,2,16,12,18,32,440
s28_04,turn2_start,2023,2,16,12,18,35,119
s28_04,turn2_end  ,2023,2,16,12,18,35,837
s28_04,sit_start  ,2023,2,16,12,18,35,837
s28_04,sit_end    ,2023,2,16,12,18,36,658
s28_05,stand_start,2023,2,16,12,18,54,917
s28_05,stand_end  ,2023,2,16,12,18,55,722
s28_05,turn1_start,2023,2,16,12,18,58,112
s28_05,turn1_end  ,2023,2,16,12,18,59,283
s28_05,turn2_start,2023,2,16,12,19,1,690
s28_05,turn2_end  ,2023,2,16,12,19,2,579
s28_05,sit_start  ,2023,2,16,12,19,2,579
s28_05,sit_end    ,2023,2,16,12,19,3,431
s28_06,stand_start,2023,2,16,12,19,22,760
s28_06,stand_end  ,2023,2,16,12,19,23,679
s28_06,turn1_start,2023,2,16,12,19,25,869
s28_06,turn1_end  ,2023,2,16,12,19,26,857
s28_06,turn2_start,2023,2,16,12,19,29,280
s28_06,turn2_end  ,2023,2,16,12,19,30,150
s28_06,sit_start  ,2023,2,16,12,19,30,150
s28_06,sit_end    ,2023,2,16,12,19,30,919
s28_07,stand_start,2023,2,16,12,19,50,212
s28_07,stand_end  ,2023,2,16,12,19,50,933
s28_07,turn1_start,2023,2,16,12,19,53,159
s28_07,turn1_end  ,2023,2,16,12,19,54,144
s28_07,turn2_start,2023,2,16,12,19,56,786
s28_07,turn2_end  ,2023,2,16,12,19,57,606
s28_07,sit_start  ,2023,2,16,12,19,57,606
s28_07,sit_end    ,2023,2,16,12,19,58,426
s28_08,stand_start,2023,2,16,12,20,17,224
s28_08,stand_end  ,2023,2,16,12,20,17,926
s28_08,turn1_start,2023,2,16,12,20,20,185
s28_08,turn1_end  ,2023,2,16,12,20,21,204
s28_08,turn2_start,2023,2,16,12,20,23,565
s28_08,turn2_end  ,2023,2,16,12,20,24,484
s28_08,sit_start  ,2023,2,16,12,20,24,484
s28_08,sit_end    ,2023,2,16,12,20,25,589
s28_09,stand_start,2023,2,16,12,20,42,781
s28_09,stand_end  ,2023,2,16,12,20,43,650
s28_09,turn1_start,2023,2,16,12,20,45,809
s28_09,turn1_end  ,2023,2,16,12,20,46,830
s28_09,turn2_start,2023,2,16,12,20,49,341
s28_09,turn2_end  ,2023,2,16,12,20,50,175
s28_09,sit_start  ,2023,2,16,12,20,50,175
s28_09,sit_end    ,2023,2,16,12,20,51,96
s28_10,stand_start,2023,2,16,12,21,9,812
s28_10,stand_end  ,2023,2,16,12,21,10,498
s28_10,turn1_start,2023,2,16,12,21,12,605
s28_10,turn1_end  ,2023,2,16,12,21,13,727
s28_10,turn2_start,2023,2,16,12,21,16,186
s28_10,turn2_end  ,2023,2,16,12,21,17,154
s28_10,sit_start  ,2023,2,16,12,21,17,154
s28_10,sit_end    ,2023,2,16,12,21,18,159
