,subject,duration,standing_up,first_walk,first_turn,second_walk,second_turn,sitting_down,status,system
344,s06,-36.0,-153.0,-266.0,722.0,-544.0,-20.0,225.0,success,C2
345,s06,-487.0,-222.0,-199.0,-28.0,53.0,138.0,-228.0,success,C2
346,s06,,,156.0,23.0,-360.0,290.0,-313.0,failure,C2
347,s06,-416.0,200.0,-545.0,184.0,-209.0,140.0,-185.0,success,C2
348,s06,-124.0,124.0,-317.0,316.0,-252.0,90.0,-85.0,success,C2
349,s06,-330.0,-60.0,-344.0,251.0,-221.0,206.0,-162.0,success,C2
350,s07,-2.0,671.0,-640.0,-327.0,166.0,39.0,89.0,success,C2
351,s07,-1438.0,511.0,-657.0,34.0,-372.0,56.0,-1010.0,success,C2
352,s07,544.0,315.0,-136.0,648.0,-760.0,-110.0,587.0,success,C2
353,s07,106.0,955.0,-480.0,-354.0,256.0,-78.0,-193.0,success,C2
354,s07,158.0,409.0,-555.0,99.0,-45.0,-145.0,395.0,success,C2
355,s07,130.0,412.0,-489.0,-339.0,40.0,65.0,441.0,success,C2
356,s07,-138.0,25.0,-35.0,166.0,-305.0,332.0,-321.0,success,C2
357,s07,146.0,547.0,-592.0,83.0,-328.0,-86.0,522.0,success,C2
358,s07,293.0,56.0,-179.0,-51.0,376.0,-194.0,285.0,success,C2
359,s07,675.0,1199.0,-555.0,-2.0,-113.0,74.0,72.0,success,C2
360,s08,381.0,335.0,21.0,-143.0,-173.0,234.0,107.0,success,C2
361,s08,-64.0,40.0,-62.0,202.0,53.0,-51.0,-245.0,success,C2
362,s08,-148.0,72.0,-170.0,299.0,-271.0,166.0,-244.0,success,C2
363,s08,70.0,132.0,147.0,327.0,-284.0,184.0,-436.0,success,C2
364,s08,123.0,303.0,-146.0,572.0,-510.0,81.0,-177.0,success,C2
365,s08,-438.0,-143.0,150.0,304.0,-410.0,134.0,-473.0,success,C2
366,s08,-4.0,84.0,54.0,194.0,-568.0,317.0,-85.0,success,C2
367,s08,-1.0,167.0,-97.0,453.0,-384.0,21.0,-161.0,success,C2
368,s08,54.0,100.0,-204.0,460.0,-375.0,284.0,-211.0,success,C2
369,s08,46.0,160.0,-36.0,-229.0,-72.0,401.0,-178.0,success,C2
370,s09,-67.0,-44.0,-230.0,546.0,-409.0,107.0,-37.0,success,C2
371,s09,-470.0,-229.0,-62.0,648.0,-760.0,117.0,-184.0,success,C2
372,s09,-716.0,-25.0,-355.0,-36.0,139.0,-61.0,-377.0,success,C2
373,s09,-702.0,-113.0,-223.0,-53.0,-106.0,-222.0,15.0,success,C2
374,s09,-326.0,-61.0,-272.0,328.0,-183.0,-220.0,82.0,success,C2
375,s09,-185.0,267.0,-237.0,249.0,-232.0,-104.0,-128.0,success,C2
376,s09,-201.0,5.0,-137.0,-26.0,-105.0,-54.0,117.0,success,C2
377,s09,-655.0,-44.0,-533.0,822.0,-652.0,-87.0,-161.0,success,C2
378,s09,-529.0,-304.0,-38.0,410.0,-409.0,-431.0,243.0,success,C2
379,s09,-234.0,-127.0,-71.0,150.0,-309.0,207.0,-84.0,success,C2
380,s10,,2084.0,410.0,410.0,-409.0,362.0,5468.0,failure,C2
381,s10,,268.0,99.0,527.0,-359.0,654.0,6056.0,failure,C2
382,s10,,318.0,248.0,333.0,-357.0,344.0,5550.0,failure,C2
383,s10,,1208.0,703.0,706.0,-612.0,688.0,9902.0,failure,C2
384,s10,,7.0,527.0,116.0,-231.0,-1.0,6848.0,failure,C2
385,s10,,,705.0,395.0,-315.0,721.0,1412.0,failure,C2
386,s10,,754.0,100.0,150.0,-281.0,521.0,7303.0,failure,C2
387,s10,,,932.0,200.0,-465.0,814.0,4669.0,failure,C2
388,s10,,446.0,351.0,494.0,-449.0,669.0,4215.0,failure,C2
389,s10,,,300.0,32.0,-129.0,361.0,6056.0,failure,C2
390,s11,223.0,-55.0,-689.0,938.0,-702.0,26.0,706.0,success,C2
391,s11,-382.0,-54.0,-471.0,544.0,-490.0,39.0,50.0,success,C2
392,s11,521.0,-365.0,302.0,1194.0,-1338.0,267.0,462.0,success,C2
393,s11,,988.0,-779.0,72.0,-36.0,-87.0,2987.0,failure,C2
394,s11,-181.0,-336.0,448.0,426.0,-414.0,-11.0,-294.0,success,C2
395,s11,121.0,-630.0,229.0,560.0,-640.0,511.0,91.0,success,C2
396,s11,-100.0,-348.0,206.0,526.0,-573.0,152.0,-63.0,success,C2
397,s11,901.0,763.0,183.0,446.0,-315.0,-207.0,32.0,success,C2
398,s11,-993.0,-665.0,-296.0,23.0,-69.0,26.0,-12.0,success,C2
399,s11,-528.0,-648.0,268.0,530.0,-464.0,106.0,-320.0,success,C2
400,s12,-134.0,488.0,-364.0,-49.0,7.0,-114.0,-102.0,success,C2
401,s12,1681.0,264.0,4.0,-295.0,256.0,8.0,1444.0,success,C2
402,s12,695.0,627.0,-433.0,266.0,-306.0,55.0,486.0,success,C2
403,s12,,,,,,,,failure,C2
404,s12,0.0,129.0,-143.0,-60.0,-231.0,95.0,210.0,success,C2
405,s12,45.0,799.0,-700.0,185.0,16.0,-12.0,-243.0,success,C2
406,s12,309.0,-94.0,107.0,376.0,-154.0,202.0,-127.0,success,C2
407,s12,200.0,300.0,-145.0,134.0,-246.0,352.0,-195.0,success,C2
408,s12,339.0,-127.0,170.0,40.0,-170.0,-95.0,521.0,success,C2
409,s12,323.0,39.0,61.0,-105.0,-79.0,56.0,351.0,success,C2
410,s13,82.0,950.0,-599.0,155.0,17.0,-288.0,-151.0,success,C2
411,s13,1364.0,704.0,970.0,1856.0,,,947.0,partial_success,C2
412,s13,95.0,285.0,-124.0,295.0,-172.0,-204.0,15.0,success,C2
413,s13,332.0,300.0,-86.0,343.0,-204.0,-104.0,84.0,success,C2
414,s13,15.0,283.0,-465.0,410.0,-174.0,123.0,-162.0,success,C2
415,s13,584.0,527.0,-22.0,275.0,-190.0,-172.0,166.0,success,C2
416,s13,138.0,73.0,-171.0,428.0,-254.0,-87.0,149.0,success,C2
417,s13,405.0,299.0,-122.0,343.0,-372.0,74.0,183.0,success,C2
418,s13,-197.0,5.0,-224.0,276.0,-64.0,6.0,-196.0,success,C2
419,s13,88.0,201.0,-88.0,345.0,-255.0,29.0,-144.0,success,C2
420,s14,-173.0,216.0,-390.0,-295.0,477.0,-204.0,23.0,success,C2
421,s14,,,,,,,,failure,C2
422,s14,280.0,117.0,132.0,-178.0,48.0,-10.0,171.0,success,C2
423,s14,-436.0,-28.0,-278.0,-143.0,,,-286.0,partial_success,C2
424,s14,37.0,-347.0,-18.0,-144.0,175.0,-160.0,531.0,success,C2
425,s14,-927.0,-667.0,99.0,-94.0,191.0,-321.0,-135.0,success,C2
426,s14,547.0,-406.0,210.0,209.0,,,1194.0,partial_success,C2
427,s14,622.0,55.0,-68.0,-177.0,292.0,-194.0,714.0,success,C2
