,subject,duration,standing_up,first_walk,first_turn,second_walk,second_turn,sitting_down
274,s29,7776,970,2057,1088,2021,738,902
275,s29,8345,1002,1925,1137,2140,1053,1088
276,s29,8816,890,2207,1252,1926,1068,1473
277,s29,8180,1171,1857,1189,2040,954,969
278,s29,8271,1004,1804,1206,2088,1105,1064
279,s29,8242,968,1889,1373,1954,1006,1052
280,s29,7643,887,1755,1087,2124,871,919
281,s30,9114,1270,1974,1355,2173,1072,1270
282,s30,8929,1135,2124,1289,2007,1203,1171
283,s30,8847,1036,2008,1490,2005,1238,1070
284,s30,8734,937,2323,1070,2258,1104,1042
285,s30,9130,1087,2140,1356,2223,1104,1220
286,s30,8746,953,2207,1254,2058,1187,1087
287,s30,9148,987,2392,1254,2157,1238,1120
288,s30,9147,1138,2206,1288,2156,1339,1020
289,s30,9079,1053,2257,1221,2240,1088,1220
290,s30,8980,969,2226,1303,2074,1156,1252
