timestamp_acc,x_acc,y_acc,z_acc,timestamp_gyro,x_gyro,y_gyro,z_gyro,gt
2022-07-12 12:51:07.667000+00:00,0.02911988239830432,0.0573667049498614,-0.10974665504231984,2022-07-12 12:51:07.668000+00:00,3.937507366158499e-05,-0.0003587506829976217,-7.437514062091921e-05,SEATED
2022-07-12 12:51:07.676000+00:00,0.02915038476069509,0.05712270428468691,-0.1097161557189209,2022-07-12 12:51:07.675000+00:00,0.00014437527453958765,-0.0003587506829976217,-0.00021437540845814507,SEATED
2022-07-12 12:51:07.687000+00:00,0.02939438238687786,0.05712270428468691,-0.10965515707212325,2022-07-12 12:51:07.687000+00:00,0.00014437527453958765,-0.0003587506829976217,-0.0003193756226765876,SEATED
2022-07-12 12:51:07.697000+00:00,0.02939438238687786,0.05706170563788926,-0.10962465774872443,2022-07-12 12:51:07.696000+00:00,0.00014437527453958765,-0.0003587506829976217,-0.00038937575659525603,SEATED
2022-07-12 12:51:07.705000+00:00,0.02911988239830432,0.05684820429611359,-0.1095941584253256,2022-07-12 12:51:07.706000+00:00,7.437514062091921e-05,-0.00025375049546039197,-0.00042437581021392834,SEATED
2022-07-12 12:51:07.717000+00:00,0.02896738274231825,0.0566347029543377,-0.10962465774872443,2022-07-12 12:51:07.716000+00:00,-3.0625060256972425e-05,-7.8750147323281e-05,-0.00042437581021392834,SEATED
2022-07-12 12:51:07.725000+00:00,0.028662383430346106,0.05672620700251829,-0.10956365910192678,2022-07-12 12:51:07.725000+00:00,-6.562512721630664e-05,0.0001312502544326133,-0.0003193756226765876,SEATED
2022-07-12 12:51:07.735000+00:00,0.02869288275374493,0.056878703619512416,-0.10986865233591514,2022-07-12 12:51:07.734000+00:00,-0.00013562526113486406,0.00037625070980706887,-0.0002843755423767025,SEATED
2022-07-12 12:51:07.746000+00:00,0.02915038476069509,0.05718370293148456,-0.10986865233591514,2022-07-12 12:51:07.745000+00:00,-0.00020562539505342148,0.0005512510579441798,-0.00024937548875803017,SEATED
2022-07-12 12:51:07.756000+00:00,0.029028384428107845,0.05733620562646258,-0.10974665504231984,2022-07-12 12:51:07.755000+00:00,-0.00031062558259076223,0.0005512510579441798,-0.0002843755423767025,SEATED
2022-07-12 12:51:07.764000+00:00,0.028997882065717073,0.057092204961288084,-0.10935015168216711,2022-07-12 12:51:07.763000+00:00,-0.00034562566289064733,0.0005512510579441798,-0.0003543756762952599,SEATED
2022-07-12 12:51:07.773000+00:00,0.028997882065717073,0.05718370293148456,-0.10925865371197063,2022-07-12 12:51:07.773000+00:00,-0.0002756255289720899,0.0004812508973441876,-0.0003193756226765876,SEATED
2022-07-12 12:51:07.784000+00:00,0.029089383074905495,0.0573667049498614,-0.10941116248493266,2022-07-12 12:51:07.783000+00:00,-0.00017062532809419828,0.00030625057588840043,-0.0002843755423767025,SEATED
2022-07-12 12:51:07.795000+00:00,0.029363883063479035,0.057092204961288084,-0.10962465774872443,2022-07-12 12:51:07.794000+00:00,-3.0625060256972425e-05,9.625018747327907e-05,-0.00021437540845814507,SEATED
2022-07-12 12:51:07.805000+00:00,0.029516382719465106,0.057214202254883384,-0.10935015168216711,2022-07-12 12:51:07.804000+00:00,4.375008369805755e-06,-4.3750083699167774e-05,-0.00017937534149881085,SEATED
2022-07-12 12:51:07.814000+00:00,0.02942488474926863,0.05742770359665905,-0.10938066316153383,2022-07-12 12:51:07.813000+00:00,3.937507366158499e-05,-8.750016739833555e-06,-0.00021437540845814507,SEATED
2022-07-12 12:51:07.822000+00:00,0.029638383052052353,0.05745820292005788,-0.1094721611317303,2022-07-12 12:51:07.823000+00:00,-3.0625060256972425e-05,0.00020125038835105968,-0.00024937548875803017,SEATED
2022-07-12 12:51:07.832000+00:00,0.02969938473784195,0.0573667049498614,-0.10944166180833148,2022-07-12 12:51:07.831000+00:00,-6.562512721630664e-05,0.00034125065618839656,-0.0002843755423767025,SEATED
2022-07-12 12:51:07.842000+00:00,0.029180884084093917,0.05730570630306375,-0.10916715574177416,2022-07-12 12:51:07.842000+00:00,-3.0625060256972425e-05,0.00030625057588840043,-0.0003193756226765876,SEATED
2022-07-12 12:51:07.852000+00:00,0.02905888375150667,0.05727520697966493,-0.10935015168216711,2022-07-12 12:51:07.853000+00:00,3.937507366158499e-05,0.0001312502544326133,-0.00024937548875803017,SEATED
2022-07-12 12:51:07.861000+00:00,0.02921138340749274,0.05724470157828221,-0.10953315977852796,2022-07-12 12:51:07.862000+00:00,7.437514062091921e-05,-0.0001137502142825042,-0.00014437527453947663,SEATED
2022-07-12 12:51:07.871000+00:00,0.02933338374008021,0.057153203608085734,-0.10962465774872443,2022-07-12 12:51:07.870000+00:00,0.00010937520758025343,-0.00025375049546039197,-7.437514062091921e-05,SEATED
2022-07-12 12:51:07.881000+00:00,0.029516382719465106,0.05733620562646258,-0.10968565639552208,2022-07-12 12:51:07.880000+00:00,0.00010937520758025343,-0.00025375049546039197,-4.3750083699167774e-06,SEATED
2022-07-12 12:51:07.891000+00:00,0.029516382719465106,0.05770220358523259,-0.10938066316153383,2022-07-12 12:51:07.891000+00:00,3.937507366158499e-05,-0.00021875041516039584,3.06250602568614e-05,SEATED
2022-07-12 12:51:07.899000+00:00,0.029302884416681385,0.05751920156685553,-0.10935015168216711,2022-07-12 12:51:07.900000+00:00,4.375008369805755e-06,-4.3750083699167774e-05,0.00010062519417552984,SEATED
